Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Demo,Firefox 63.0,,2018-11-07 17:59:36,2018-11-07 17:59:54,18.428s,PASSED
,,,,,,
Test Cases/Test_0001_Add_User,Firefox 63.0,,2018-11-07 17:59:36,2018-11-07 17:59:46,9.837s,PASSED
openBrowser,Firefox 63.0,,2018-11-07 17:59:36,2018-11-07 17:59:39,3.102s,PASSED
navigateToUrl,Firefox 63.0,,2018-11-07 17:59:39,2018-11-07 17:59:41,1.242s,PASSED
click,Firefox 63.0,,2018-11-07 17:59:41,2018-11-07 17:59:44,3.555s,PASSED
setText,Firefox 63.0,,2018-11-07 17:59:44,2018-11-07 17:59:44,0.074s,PASSED
setText,Firefox 63.0,,2018-11-07 17:59:44,2018-11-07 17:59:44,0.065s,PASSED
setText,Firefox 63.0,,2018-11-07 17:59:44,2018-11-07 17:59:44,0.058s,PASSED
setText,Firefox 63.0,,2018-11-07 17:59:44,2018-11-07 17:59:44,0.061s,PASSED
takeScreenshot,Firefox 63.0,,2018-11-07 17:59:44,2018-11-07 17:59:44,0.131s,PASSED
click,Firefox 63.0,,2018-11-07 17:59:44,2018-11-07 17:59:45,0.236s,PASSED
verifyElementPresent,Firefox 63.0,,2018-11-07 17:59:45,2018-11-07 17:59:45,0.524s,PASSED
takeScreenshot,Firefox 63.0,,2018-11-07 17:59:45,2018-11-07 17:59:45,0.110s,PASSED
closeBrowser,Firefox 63.0,,2018-11-07 17:59:45,2018-11-07 17:59:46,0.508s,PASSED
,,,,,,
Test Cases/Test_0001_Add_User,Firefox 63.0,,2018-11-07 17:59:46,2018-11-07 17:59:54,8.359s,PASSED
openBrowser,Firefox 63.0,,2018-11-07 17:59:46,2018-11-07 17:59:47,1.609s,PASSED
navigateToUrl,Firefox 63.0,,2018-11-07 17:59:47,2018-11-07 17:59:49,1.537s,PASSED
click,Firefox 63.0,,2018-11-07 17:59:49,2018-11-07 17:59:52,3.495s,PASSED
setText,Firefox 63.0,,2018-11-07 17:59:52,2018-11-07 17:59:53,0.063s,PASSED
setText,Firefox 63.0,,2018-11-07 17:59:53,2018-11-07 17:59:53,0.057s,PASSED
setText,Firefox 63.0,,2018-11-07 17:59:53,2018-11-07 17:59:53,0.052s,PASSED
setText,Firefox 63.0,,2018-11-07 17:59:53,2018-11-07 17:59:53,0.053s,PASSED
takeScreenshot,Firefox 63.0,,2018-11-07 17:59:53,2018-11-07 17:59:53,0.127s,PASSED
click,Firefox 63.0,,2018-11-07 17:59:53,2018-11-07 17:59:53,0.233s,PASSED
verifyElementPresent,Firefox 63.0,,2018-11-07 17:59:53,2018-11-07 17:59:54,0.514s,PASSED
takeScreenshot,Firefox 63.0,,2018-11-07 17:59:54,2018-11-07 17:59:54,0.109s,PASSED
closeBrowser,Firefox 63.0,,2018-11-07 17:59:54,2018-11-07 17:59:54,0.502s,PASSED
